date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2005:49:06%20GMT	http://ntechglobalsolutions.in/robots.txt		(from )
11:19:06	30542/30542	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2005:49:06%20GMT	http://ntechglobalsolutions.in/ows/	D:/Project/ntech/ntechglobalsolutions.in/ows/index.html	(from )
11:19:06	151/151	---M-Z	200	added ('OK')	text/css	etag:%2228607be-97-5c4b2541d9180-gzip%22	http://ntechglobalsolutions.in/ows/css/style.css	D:/Project/ntech/ntechglobalsolutions.in/ows/css/style.css	(from http://ntechglobalsolutions.in/ows/)
11:19:06	121457/121457	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	D:/Project/ntech/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from http://ntechglobalsolutions.in/ows/)
11:19:07	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-e283%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	D:/Project/ntech/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.min.css	(from http://ntechglobalsolutions.in/ows/)
11:19:07	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	D:/Project/ntech/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://ntechglobalsolutions.in/ows/)
11:19:08	14299/14299	---M--	200	added ('OK')	image/png	etag:%2228607e1-37db-5c468e0a36200%22	http://ntechglobalsolutions.in/ows/images/logo.png	D:/Project/ntech/ntechglobalsolutions.in/ows/images/logo.png	(from http://ntechglobalsolutions.in/ows/)
11:19:08	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/Project/ntech/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://ntechglobalsolutions.in/ows/)
11:19:09	37608/37608	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.0/js/bootstrap.min.js	D:/Project/ntech/maxcdn.bootstrapcdn.com/bootstrap/3.4.0/js/bootstrap.min.js	(from http://ntechglobalsolutions.in/ows/)
11:19:09	8182/8182	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04033-1ff6%22	https://cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.min.js	D:/Project/ntech/cdnjs.cloudflare.com/ajax/libs/wow/1.1.2/wow.min.js	(from http://ntechglobalsolutions.in/ows/)
